货主,入库单号,仓库,货品简称,创建人,入库原因,仓储单号,商家编码,条形码,货品编号,货品名称,分类名称,规格名称,品牌,数量,单价,箱数,绩效箱数,物流公司,物流单号,入库货位,批次,是否正品,审核时间,备注,单品备注,OMS单号,箱规,生产日期,保质期,有效期,货品重量（kg）,货品总重量（kg）,货品体积（cm³）,货品总体积（cm³）,货品箱体积（cm³）,箱规总体积（cm³）,单品标记
EA,RK2607010010,主仓库,(증정) 유쏘풀 핸드크림(#05 플로랄리아) (1g),최정민,借调入库,JTF202607010001,8.80985E+12,8.80985E+12,8.80985E+12,(赠品) YOUSSOFUL 护手霜(#05 Floralia) (1g),美妆个护,1ml,YOUSSOFUL,5000,无权限,1箱,1,无,,A04-36-03,,正品,2026-07-01 15:46,SCM 화주변경 요,,,5000/箱,0000-00-00 00:00:00,0,2028-12-22 0:00,0.003,15,0,0,0,0,无
EA,RK2607010010,主仓库,(증정) 유쏘풀 향수(#13 코코 하와이) (2ml) (#Ver.2),최정민,借调入库,JTF202607010001,8.80985E+12,8.80985E+12,8.80985E+12,(赠品) YOUSSOFUL 香水(#13 Coco hawaii) (2ml) (#Ver.2),美妆个护,2ml,YOUSSOFUL,256,无权限,1箱,1,无,,A05-04-03,,正品,2026-07-01 15:46,SCM 화주변경 요,,,256/箱,0000-00-00 00:00:00,0,2029-02-26 0:00,0.013,3.328,35,8960,0,8960,无
EA,RK2607010010,主仓库,(증정) 유쏘풀 향수(#24 엠포리아 코튼) (2ml) (#Ver.2),최정민,借调入库,JTF202607010001,8.80985E+12,8.80985E+12,8.80985E+12,(赠品) YOUSSOFUL 香水(#24 Emporia Cotton) (2ml) (#Ver.2),美妆个护,2ml,YOUSSOFUL,256,无权限,1箱,1,无,,A05-07-02,,正品,2026-07-01 15:46,SCM 화주변경 요,,,256/箱,0000-00-00 00:00:00,0,2029-02-26 0:00,0.013,3.328,35,8960,0,8960,无
BOX,RK2607020005,主仓库,슈엘로 리프팅 스크럽 워시 (250ml),박강민 ,采购入库,CG202607020005,8.80979E+12,8.80979E+12,8.80979E+12,Suelo 提拉身体磨砂沐浴乳 (250ml),美妆个护,250ml,Suelo,64,无权限,2箱,2,无,,B2-25-01,,正品,2026-07-02 10:52,발주No. 2026-07-01 -4 / BOX / CN CG20260702001,CN 2026-07-01 -4,OCG202607020005,32/箱,0000-00-00 00:00:00,0,2029-03-25 0:00,0.277,17.728,689,44096,0,44096,无
BOX,RK2607020005,主仓库,슈엘로 볼케이노 바디 피피씨 크림 (120ml) (#Ver.2),박강민 ,采购入库,CG202607020005,8.80979E+12,8.80979E+12,8.80979E+12,Suelo 火山身体PPC纤体刮痧霜 (120ml) (#Ver.2),美妆个护,120ml,Suelo,128,无权限,4箱,4,无,,B2-25-01,,正品,2026-07-02 10:52,발주No. 2026-07-01 -4 / BOX / CN CG20260702001,CN 2026-07-01 -4,OCG202607020005,32/箱,0000-00-00 00:00:00,0,2029-05-17 0:00,0.178,22.784,612,78336,0,78336,无
EA,RK2607020007,主仓库,(증정) 어바웃톤 퍼프 (1ea),박강민 ,未知入库,,8.8026E+11,8.8026E+11,8.8026E+11,(赠品) ABOUT TONE 3D斜切美妆蛋 (1ea),美妆个护,1ea,MYCOMMERCE,272,无权限,272箱,1,无,,A04-10-03,,正品,2026-07-02 11:01,강남사무실 발송 272EA,,,1/箱,0000-00-00 00:00:00,0,2099-12-31 0:00,0,0,0,0,0,0,无
EA,RK2607020010,主仓库,플르부아 린넨스프레이(#슬로우 나이트) (170ml),최정민,借调入库,JTF202607020001,8.80034E+12,8.80034E+12,8.80034E+12,Pleuvoir 织物喷雾(#Slow Night) (170ml),美妆个护,170ml,Pleuvoir,30,无权限,1箱,1,无,,A03-32-02,,正品,2026-07-02 16:11,SCM 화준 변경 요청,기타,,30/箱,0000-00-00 00:00:00,0,2029-06-01 0:00,0.236,7.08,598,17940,0,17940,无
EA,RK2607030004,主仓库,플르부아 바디로션(#히노키레더) (250ml),최정민,借调入库,JTF202607030001,8.80968E+12,8.80968E+12,8.80968E+12,Pleuvoir 身体乳(#Hinoki Leather) (250ml),美妆个护,250ml,Pleuvoir,20,无权限,1箱,1,无,,A05-04-02,,正品,2026-07-03 13:46,SCM 화주 변경 요,,,20/箱,0000-00-00 00:00:00,0,2028-09-23 0:00,0.31,6.2,585,11700,0,11700,无
BOX,RK2607030006,主仓库,(증정) 유쏘풀 향수(#07 세인트 모리츠) (2ml) (#Ver.2),박강민 ,采购入库,CG202607030004,8.80985E+12,8.80985E+12,8.80985E+12,(赠品) YOUSSOFUL 香水(#07 Saint Moritz) (2ml) (#Ver.2),美妆个护,2ml,YOUSSOFUL,19968,无权限,78箱,78,无,,B2-25-01,,正品,2026-07-03 14:17,발주No. 2026-07-01 -1 / BOX / DY CG20260701001,DY 2026-07-01 -1,OCG202607030004,256/箱,0000-00-00 00:00:00,0,2029-05-25 0:00,0.013,259.584,35,698880,0,698880,无
BOX,RK2607030006,主仓库,(증정) 유쏘풀 향수(#03 베리섹시) (2ml) (#Ver.2),박강민 ,采购入库,CG202607030004,8.80985E+12,8.80985E+12,8.80985E+12,(赠品) YOUSSOFUL 香水(#03 Berry Sexy) (2ml) (#Ver.2),美妆个护,2ml,YOUSSOFUL,19968,无权限,78箱,78,无,,B2-25-01,,正品,2026-07-03 14:17,발주No. 2026-07-01 -1 / BOX / DY CG20260701001,DY 2026-07-01 -1,OCG202607030004,256/箱,0000-00-00 00:00:00,0,2029-06-17 0:00,0.013,259.584,35,698880,0,698880,无
